series,measure,rho_full,pval_full,rho_pre,pval_pre,rho_covid,pval_covid,rho_rate,pval_rate
Nifty50,shannon,-0.4314,0.0,-0.2642,0.0,-0.5929,0.0,-0.5657,0.0
Nifty50,apen,0.3145,0.0,0.1201,0.0,0.4896,0.0,0.4258,0.0
Nifty50,sampen,-0.2373,0.0,0.0031,0.889,-0.6508,0.0,-0.4518,0.0
IT,shannon,-0.3023,0.0,-0.529,0.0,-0.3101,0.0,-0.0136,0.6508
IT,apen,0.193,0.0,0.2861,0.0,0.1105,0.0117,0.111,0.0002
IT,sampen,-0.3476,0.0,-0.4348,0.0,-0.4905,0.0,-0.2978,0.0
Pharma,shannon,-0.1346,0.0,-0.0565,0.0113,-0.2375,0.0,0.0593,0.0486
Pharma,apen,-0.122,0.0,-0.2877,0.0,0.3064,0.0,-0.1343,0.0
Pharma,sampen,-0.1551,0.0,-0.0218,0.3282,-0.5376,0.0,-0.2929,0.0
FMCG,shannon,-0.3252,0.0,-0.3318,0.0,-0.3221,0.0,-0.1517,0.0
FMCG,apen,0.1861,0.0,0.1888,0.0,0.1606,0.0002,-0.0406,0.1769
FMCG,sampen,-0.2255,0.0,-0.1875,0.0,-0.2902,0.0,-0.2099,0.0
Bank,shannon,-0.2005,0.0,-0.1356,0.0,-0.3147,0.0,-0.3795,0.0
Bank,apen,0.2231,0.0,0.2065,0.0,0.1868,0.0,0.3422,0.0
Bank,sampen,-0.2335,0.0,-0.2376,0.0,-0.195,0.0,-0.4739,0.0
Auto,shannon,-0.3348,0.0,-0.2564,0.0,-0.3094,0.0,-0.3115,0.0
Auto,apen,0.2548,0.0,0.2449,0.0,0.124,0.0047,0.1552,0.0
Auto,sampen,-0.3128,0.0,-0.2471,0.0,-0.2617,0.0,-0.2382,0.0
Metal,shannon,-0.3325,0.0,-0.2168,0.0,-0.3356,0.0,-0.5474,0.0
Metal,apen,0.1244,0.0,0.0052,0.8155,0.1852,0.0,0.4508,0.0
Metal,sampen,-0.2137,0.0,-0.0482,0.0308,-0.0894,0.0417,-0.5258,0.0
Realty,shannon,-0.1498,0.0,-0.1638,0.0,-0.0858,0.0508,-0.1055,0.0004
Realty,apen,0.1671,0.0,0.1712,0.0,-0.0079,0.8583,0.1388,0.0
Realty,sampen,-0.3147,0.0,-0.3063,0.0,-0.1697,0.0001,-0.3156,0.0
Energy,shannon,-0.2635,0.0,-0.276,0.0,-0.4417,0.0,-0.0866,0.004
Energy,apen,0.2039,0.0,0.1809,0.0,0.4534,0.0,0.0389,0.1958
Energy,sampen,-0.3087,0.0,-0.131,0.0,-0.2099,0.0,-0.4164,0.0
SP500,shannon,0.0444,0.0074,0.0735,0.001,-0.4163,0.0,0.0504,0.0941
SP500,apen,0.0152,0.3591,0.0425,0.057,0.0592,0.178,0.1026,0.0006
SP500,sampen,-0.1446,0.0,-0.2337,0.0,-0.3868,0.0,0.0547,0.069
US_Tech,shannon,0.0544,0.001,0.0346,0.1213,-0.4648,0.0,-0.0717,0.017
US_Tech,apen,0.1376,0.0,0.2858,0.0,0.2656,0.0,0.3622,0.0
US_Tech,sampen,-0.0377,0.0231,-0.1299,0.0,-0.5868,0.0,0.0913,0.0024
US_Health,shannon,-0.1037,0.0,-0.0525,0.0186,-0.4648,0.0,0.0274,0.3619
US_Health,apen,0.0332,0.0457,0.048,0.0315,0.0254,0.563,-0.0421,0.1613
US_Health,sampen,-0.1313,0.0,-0.1556,0.0,-0.4146,0.0,0.0162,0.5898
US_Energy,shannon,-0.1226,0.0,-0.095,0.0,-0.5006,0.0,-0.1937,0.0
US_Energy,apen,-0.0163,0.3273,-0.0147,0.5102,-0.0548,0.2124,0.2027,0.0
US_Energy,sampen,-0.0329,0.0476,-0.1096,0.0,-0.2837,0.0,-0.0296,0.3261
US_Financials,shannon,-0.1138,0.0,-0.0101,0.6506,-0.5472,0.0,-0.2937,0.0
US_Financials,apen,0.1151,0.0,0.1072,0.0,0.3221,0.0,0.2299,0.0
US_Financials,sampen,-0.1376,0.0,-0.0426,0.0562,-0.4078,0.0,-0.2768,0.0
US_ConsDisc,shannon,0.011,0.5058,-0.0803,0.0003,-0.2894,0.0,0.0005,0.9862
US_ConsDisc,apen,0.0,0.9994,0.093,0.0,0.1241,0.0046,0.2506,0.0
US_ConsDisc,sampen,-0.1146,0.0,-0.3097,0.0,-0.2549,0.0,-0.1002,0.0008
US_ConsStap,shannon,-0.3514,0.0,-0.1763,0.0,-0.6409,0.0,-0.5526,0.0
US_ConsStap,apen,0.0763,0.0,0.037,0.0973,0.2845,0.0,0.2814,0.0
US_ConsStap,sampen,-0.1501,0.0,-0.0739,0.0009,-0.5971,0.0,-0.3226,0.0
US_Industrial,shannon,-0.0387,0.0196,0.0411,0.0653,-0.2609,0.0,-0.2383,0.0
US_Industrial,apen,0.0326,0.0492,0.0574,0.0101,-0.2407,0.0,0.3222,0.0
US_Industrial,sampen,-0.1281,0.0,-0.0522,0.0193,-0.2807,0.0,-0.2086,0.0
US_Materials,shannon,-0.0276,0.0961,0.0241,0.2802,-0.4187,0.0,0.0129,0.6692
US_Materials,apen,0.0248,0.135,0.1059,0.0,0.2451,0.0,-0.117,0.0001
US_Materials,sampen,-0.0319,0.0548,-0.0091,0.684,-0.3084,0.0,0.046,0.1262
