series,measure,regime,mean_entropy,n
Nifty50,shannon,pre_covid,3.68984,2008
Nifty50,shannon,covid_recovery,3.54452,519
Nifty50,shannon,rate_hike,3.64352,1106
Nifty50,apen,pre_covid,0.38417,2008
Nifty50,apen,covid_recovery,0.4179,519
Nifty50,apen,rate_hike,0.38731,1106
Nifty50,sampen,pre_covid,1.26526,2008
Nifty50,sampen,covid_recovery,1.18189,519
Nifty50,sampen,rate_hike,1.20585,1106
SP500,shannon,pre_covid,3.57734,2008
SP500,shannon,covid_recovery,3.61946,519
SP500,shannon,rate_hike,3.66799,1106
SP500,apen,pre_covid,0.4164,2008
SP500,apen,covid_recovery,0.36432,519
SP500,apen,rate_hike,0.39069,1106
SP500,sampen,pre_covid,1.1535,2008
SP500,sampen,covid_recovery,1.03006,519
SP500,sampen,rate_hike,1.24429,1106
